Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Collection
fightpro-pink-unicorn-scheenbeschermers-kids-legends,Fightpro Pink Unicorn scheenbeschermers kids LEGENDS,"<p>LEGEND KIDS COLLECTION</p>
<p>Fightpro Pink Unicorn scheenbeschermers kids</p>
<p>&nbsp;</p>",Fightpro,Kids,"Fightpro, Kids",TRUE,Maat,140,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-scheenbeschermers-eenhoorn.jpg,1,Fightpro Pink Unicorn scheenbeschermers kids LEGENDS,FALSE,Fightpro Pink Unicorn scheenbeschermers kids LEGENDS,"Stoere Pink Unicorn scheen beschermers voor kids. Mooi te combineren met handschoenen, shirt broekje en tas van dezelfde lijn.",active,Kids
fightpro-pink-unicorn-scheenbeschermers-kids-legends,,,,,,,,152,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,,,,,,,,
fightpro-pink-unicorn-scheenbeschermers-kids-legends,,,,,,,,164,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,,,,,,,,
fightpro-ice-wolf-scheenbeschermers-kids-legends,Fightpro Ice Wolf scheenbeschermers kids LEGENDS,"<p>LEGEND KIDS COLLECTION</p>
<p>Fightpro Ice Wolf scheenbeschermers kids</p>
<p>&nbsp;</p>",Fightpro,Kids,"Fightpro, Kids",TRUE,Maat,140,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-scheenbeschermers-wolf.jpg,1,Fightpro Ice Wolf scheenbeschermers kids LEGENDS,FALSE,Fightpro Ice Wolf scheenbeschermers kids LEGENDS,"Stoere Ice Wolf scheen beschermers voor kids. Mooi te combineren met handschoenen, shirt broekje en tas van dezelfde lijn.",active,Kids
fightpro-ice-wolf-scheenbeschermers-kids-legends,,,,,,,,152,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,,,,,,,,
fightpro-ice-wolf-scheenbeschermers-kids-legends,,,,,,,,164,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,,,,,,,,
fightpro-ice-wolf-sport-tas-kids-legends,Fightpro Ice Wolf sport tas kids LEGENDS,"<p>LEGEND KIDS COLLECTION</p>
<p>Fightpro Ice Wolf tas kids</p>
<p>&nbsp;</p>",Fightpro,Kids,"Fightpro, Kids",TRUE,Maat,140,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-sporttas-kids-WOLF.jpg,1,Fightpro Ice Wolf sport tas kids LEGENDS,FALSE,Fightpro Ice Wolf sport tas kids LEGENDS,"Stoere pink unicorn sporttas voor kids. Mooi te combineren met handschoenen, shirt, broekje en scheenbeschermers van dezelfde lijn.",active,Kids
fightpro-ice-wolf-sport-tas-kids-legends,,,,,,,,152,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,,,,,,,,
fightpro-ice-wolf-sport-tas-kids-legends,,,,,,,,164,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,,,,,,,,
fightpro-pink-unicorn-sport-tas-kids-legends,Fightpro pink unicorn sport tas kids LEGENDS,"<p>LEGEND KIDS COLLECTION</p>
<p>Fightpro pink unicorn tas kids</p>
<p>&nbsp;</p>",Fightpro,Kids,"Fightpro, Kids",TRUE,Maat,140,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-sporttas-kids-eenhoorn.jpg,1,Fightpro pink unicorn sport tas kids LEGENDS,FALSE,Fightpro pink unicorn sport tas kids LEGENDS,"Stoere pink unicorn sporttas voor kids. Mooi te combineren met handschoenen, shirt, broekje en scheenbeschermers van dezelfde lijn.",active,Kids
fightpro-pink-unicorn-sport-tas-kids-legends,,,,,,,,152,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,,,,,,,,
fightpro-pink-unicorn-sport-tas-kids-legends,,,,,,,,164,,,shopify,12,deny,manual,39.95,,TRUE,TRUE,,,,,,,,
fightpro-ice-wolf-t-shirt-kids,Fightpro ICE WOLF / T-shirt kids LEGENDS,"<p>LEGEND KIDS COLLECTION</p>
<p>Fightpro ICE WOLF / T-shirt kids</p>
<p>&nbsp;</p>",Fightpro,Kids,"Fightpro, Kids",TRUE,Maat,140,,,shopify,12,deny,manual,29.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-kickboks-t-shirt-Ice-wolf.jpg,1,Fightpro ICE WOLF / T-shirt kids LEGENDS,FALSE,Fightpro ICE WOLF / T-shirt kids LEGENDS,"Fightpro ICE WOLF / T-shirt kids . Mooi te combineren met handschoenen, Broekje, tas en scheenbeschermers van dezelfde lijn. te verkrijgen in de maten: 128 140 152 164",active,Kids
fightpro-ice-wolf-t-shirt-kids,,,,,,,,152,,,shopify,12,deny,manual,29.95,,TRUE,TRUE,,,,,,,,
fightpro-ice-wolf-t-shirt-kids,,,,,,,,164,,,shopify,12,deny,manual,29.95,,TRUE,TRUE,,,,,,,,
