Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.short [single_line_text_field],Metafield: custom.badge [single_line_text_field],Metafield: custom.kind [single_line_text_field],Metafield: custom.accent_color [single_line_text_field]
fightpro-pink-unicorn-scheenbeschermers-kids-legends,Fightpro Pink Unicorn scheenbeschermers kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro Pink Unicorn scheenbeschermers kids</p>,Fightpro,Legends Kids,"Bescherming, Collecties, Fightpro, Kids fight, Legends Kids, Scheenbeschermers",TRUE,Maat,140,,shopify,10,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-scheenbeschermers-eenhoorn.jpg,1,Fightpro Pink Unicorn scheenbeschermers kids LEGENDS,active,"Stoere Pink Unicorn scheen beschermers voor kids. Mooi te combineren met handschoenen, shirt broekje en tas van dezelfde lijn.",,shield,#1A1200
fightpro-pink-unicorn-scheenbeschermers-kids-legends,,,,,,,Maat,152,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-pink-unicorn-scheenbeschermers-kids-legends,,,,,,,Maat,164,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-ice-wolf-scheenbeschermers-kids-legends,Fightpro Ice Wolf scheenbeschermers kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro Ice Wolf scheenbeschermers kids</p>,Fightpro,Legends Kids,"Bescherming, Collecties, Fightpro, Kids fight, Legends Kids, Scheenbeschermers",TRUE,Maat,140,,shopify,10,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-scheenbeschermers-wolf.jpg,1,Fightpro Ice Wolf scheenbeschermers kids LEGENDS,active,"Stoere Ice Wolf scheen beschermers voor kids. Mooi te combineren met handschoenen, shirt broekje en tas van dezelfde lijn.",,shield,#1A1200
fightpro-ice-wolf-scheenbeschermers-kids-legends,,,,,,,Maat,152,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-ice-wolf-scheenbeschermers-kids-legends,,,,,,,Maat,164,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-ice-wolf-sport-tas-kids-legends,Fightpro Ice Wolf sport tas kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro Ice Wolf tas kids</p>,Fightpro,Legends Kids,"Collecties, Fightpro, Kids fight, Legends Kids, Sport tassen",TRUE,Maat,140,,shopify,10,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-sporttas-kids-WOLF.jpg,1,Fightpro Ice Wolf sport tas kids LEGENDS,active,"Stoere pink unicorn sporttas voor kids. Mooi te combineren met handschoenen, shirt, broekje en scheenbeschermers van dezelfde lijn.",,bag,#1A1200
fightpro-ice-wolf-sport-tas-kids-legends,,,,,,,Maat,152,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-ice-wolf-sport-tas-kids-legends,,,,,,,Maat,164,,shopify,10,deny,manual,39.95,,TRUE,TRUE,,,,active,,,,
fightpro-pink-unicorn-sport-tas-kids-legends,Fightpro pink unicorn sport tas kids LEGENDS,<p>LEGEND KIDS COLLECTION</p> <p>Fightpro pink unicorn tas kids</p>,Fightpro,Legends Kids,"Collecties, Fightpro, Kids fight, Legends Kids, Sport tassen",TRUE,Maat,140,,shopify,10,deny,manual,39.95,,TRUE,TRUE,https://www.fightpro.nl/wp-content/uploads/2026/06/FIGHTPRO-sporttas-kids-eenhoorn.jpg,1,Fightpro pink unicorn sport tas kids LEGENDS,active,"Stoere pink unicorn sporttas voor kids. Mooi te combineren met handschoenen, shirt, broekje en scheenbeschermers van dezelfde lijn.",,bag,#1A1200
